Date,Product_Category,Region,Revenue,Units_Sold,Customer_Type,Sales_Rep
2024-01-15,Electronics,North,15000,150,B2B,John Smith
2024-01-15,Clothing,South,8000,200,B2C,Sarah Johnson
2024-01-16,Electronics,East,12000,120,B2B,Mike Wilson
2024-01-16,Home & Garden,West,9500,95,B2C,Lisa Brown
2024-01-17,Electronics,North,18000,180,B2B,John Smith
2024-01-17,Clothing,South,11000,275,B2C,Sarah Johnson
2024-01-18,Sports,East,7500,150,B2C,Mike Wilson
2024-01-18,Home & Garden,West,13000,130,B2B,Lisa Brown
2024-01-19,Electronics,North,22000,220,B2B,John Smith
2024-01-19,Clothing,South,9500,238,B2C,Sarah Johnson
2024-01-20,Electronics,East,16500,165,B2B,Mike Wilson
2024-01-20,Home & Garden,West,11500,115,B2C,Lisa Brown
2024-01-21,Sports,North,8500,170,B2C,John Smith
2024-01-21,Clothing,South,12500,313,B2B,Sarah Johnson
2024-01-22,Electronics,East,19000,190,B2B,Mike Wilson
2024-01-22,Home & Garden,West,14000,140,B2B,Lisa Brown
2024-02-01,Electronics,North,17000,170,B2B,John Smith
2024-02-01,Clothing,South,9000,225,B2C,Sarah Johnson
2024-02-02,Sports,East,8000,160,B2C,Mike Wilson
2024-02-02,Home & Garden,West,12000,120,B2B,Lisa Brown
2024-02-03,Electronics,North,21000,210,B2B,John Smith
2024-02-03,Clothing,South,10500,263,B2C,Sarah Johnson
2024-02-04,Electronics,East,15500,155,B2B,Mike Wilson
2024-02-04,Home & Garden,West,13500,135,B2C,Lisa Brown
2024-02-05,Sports,North,9000,180,B2C,John Smith
2024-02-05,Clothing,South,11500,288,B2B,Sarah Johnson
2024-03-01,Electronics,North,19000,190,B2B,John Smith
2024-03-01,Clothing,South,10000,250,B2C,Sarah Johnson
2024-03-02,Sports,East,8800,176,B2C,Mike Wilson
2024-03-02,Home & Garden,West,14500,145,B2B,Lisa Brown
2024-03-03,Electronics,North,23000,230,B2B,John Smith
2024-03-03,Clothing,South,12000,300,B2C,Sarah Johnson
2024-03-04,Electronics,East,17500,175,B2B,Mike Wilson
2024-03-04,Home & Garden,West,15000,150,B2B,Lisa Brown